document_id,property_id,document_type,document_name,file_format,file_size_mb,created_date,last_modified,document_status,access_level,key_terms_extracted,has_signatures,requires_renewal,expiry_date
DOC_000012,CBRE_00001,Maintenance Log,CBRE_00001_Maintenance_Log_4.csv,csv,4.06,2024-11-17,2023-05-25,Active,Confidential,"general, property, management",False,False,
DOC_000013,CBRE_00001,Maintenance Log,CBRE_00001_Maintenance_Log_5.csv,csv,3.8,2021-04-25,2024-06-30,Active,Internal,"general, property, management",False,False,
DOC_000014,CBRE_00001,Tenant Correspondence,CBRE_00001_Tenant_Correspondence_1.docx,docx,4.36,2021-05-11,2023-03-12,Draft,Internal,"general, property, management",False,False,
DOC_000015,CBRE_00001,Market Analysis,CBRE_00001_Market_Analysis_1.pptx,pptx,3.77,2020-01-15,2023-10-13,Active,Public,"general, property, management",False,False,
DOC_000016,CBRE_00001,Environmental Report,CBRE_00001_Environmental_Report_1.pdf,pdf,2.63,2022-05-09,2024-04-01,Draft,Confidential,"general, property, management",False,False,
DOC_000017,CBRE_00002,Lease Agreement,CBRE_00002_Lease_Agreement_1.pdf,pdf,1.35,2023-09-18,2024-02-29,Draft,Internal,"rent, term, renewal, escalation, cam",True,True,2026-12-17
DOC_000018,CBRE_00002,Property Inspection Report,CBRE_00002_Property_Inspection_Report_1.pdf,pdf,2.85,2023-07-28,2023-12-23,Active,Internal,"hvac, roof, structural, safety, code",False,False,
DOC_000019,CBRE_00002,Financial Statement,CBRE_00002_Financial_Statement_1.xlsx,xlsx,4.19,2023-02-14,2024-07-18,Active,Internal,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000020,CBRE_00002,Financial Statement,CBRE_00002_Financial_Statement_2.xlsx,xlsx,4.85,2023-08-18,2024-02-02,Active,Internal,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000021,CBRE_00002,Financial Statement,CBRE_00002_Financial_Statement_3.xlsx,xlsx,1.36,2022-01-21,2024-02-20,Active,Public,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000022,CBRE_00002,Financial Statement,CBRE_00002_Financial_Statement_4.xlsx,xlsx,1.0,2021-06-02,2023-12-18,Active,Internal,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000023,CBRE_00002,Energy Audit,CBRE_00002_Energy_Audit_1.pdf,pdf,0.62,2022-03-24,2023-08-13,Active,Public,"consumption, efficiency, hvac, lighting, recommendations",False,False,
DOC_000024,CBRE_00002,Appraisal Report,CBRE_00002_Appraisal_Report_1.pdf,pdf,1.2,2021-07-24,2024-02-03,Active,Internal,"value, comparables, market, highest best use, cap rate",False,False,
DOC_000025,CBRE_00002,Insurance Policy,CBRE_00002_Insurance_Policy_1.pdf,pdf,3.2,2021-02-24,2023-02-05,Draft,Internal,"general, property, management",True,True,2025-12-12
DOC_000026,CBRE_00002,Maintenance Log,CBRE_00002_Maintenance_Log_1.csv,csv,2.99,2022-01-07,2024-07-05,Active,Public,"general, property, management",False,False,
DOC_000027,CBRE_00002,Maintenance Log,CBRE_00002_Maintenance_Log_2.csv,csv,3.38,2024-09-15,2023-05-24,Archived,Internal,"general, property, management",False,False,
DOC_000028,CBRE_00002,Maintenance Log,CBRE_00002_Maintenance_Log_3.csv,csv,0.76,2022-07-16,2024-05-16,Draft,Public,"general, property, management",False,False,
DOC_000029,CBRE_00002,Maintenance Log,CBRE_00002_Maintenance_Log_4.csv,csv,4.03,2023-05-09,2023-10-16,Draft,Internal,"general, property, management",False,False,
DOC_000030,CBRE_00002,Maintenance Log,CBRE_00002_Maintenance_Log_5.csv,csv,4.95,2023-08-27,2024-11-04,Active,Confidential,"general, property, management",False,False,
DOC_000031,CBRE_00002,Maintenance Log,CBRE_00002_Maintenance_Log_6.csv,csv,3.67,2021-04-25,2024-02-01,Draft,Internal,"general, property, management",False,False,
DOC_000032,CBRE_00002,Maintenance Log,CBRE_00002_Maintenance_Log_7.csv,csv,1.81,2024-05-30,2023-10-01,Active,Internal,"general, property, management",False,False,
DOC_000033,CBRE_00002,Tenant Correspondence,CBRE_00002_Tenant_Correspondence_1.docx,docx,3.06,2020-09-02,2024-09-07,Draft,Confidential,"general, property, management",False,False,
DOC_000034,CBRE_00002,Tenant Correspondence,CBRE_00002_Tenant_Correspondence_2.docx,docx,0.94,2022-09-12,2024-05-19,Active,Public,"general, property, management",False,False,
DOC_000035,CBRE_00002,Tenant Correspondence,CBRE_00002_Tenant_Correspondence_3.docx,docx,2.02,2020-10-25,2023-05-19,Draft,Internal,"general, property, management",False,False,
DOC_000036,CBRE_00002,Market Analysis,CBRE_00002_Market_Analysis_1.pptx,pptx,1.17,2023-11-21,2024-12-19,Archived,Internal,"general, property, management",False,False,
DOC_000037,CBRE_00002,Environmental Report,CBRE_00002_Environmental_Report_1.pdf,pdf,0.47,2024-01-21,2024-07-28,Active,Confidential,"general, property, management",False,False,
DOC_000038,CBRE_00003,Lease Agreement,CBRE_00003_Lease_Agreement_1.pdf,pdf,1.47,2022-05-18,2024-04-26,Active,Internal,"rent, term, renewal, escalation, cam",True,True,2026-12-12
DOC_000039,CBRE_00003,Property Inspection Report,CBRE_00003_Property_Inspection_Report_1.pdf,pdf,1.74,2021-01-23,2023-11-14,Active,Internal,"hvac, roof, structural, safety, code",False,False,
DOC_000040,CBRE_00003,Property Inspection Report,CBRE_00003_Property_Inspection_Report_2.pdf,pdf,0.19,2023-01-26,2024-02-22,Active,Confidential,"hvac, roof, structural, safety, code",False,False,
DOC_000041,CBRE_00003,Financial Statement,CBRE_00003_Financial_Statement_1.xlsx,xlsx,2.67,2022-08-08,2023-07-10,Active,Internal,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000042,CBRE_00003,Financial Statement,CBRE_00003_Financial_Statement_2.xlsx,xlsx,4.34,2023-03-09,2023-04-15,Active,Internal,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000043,CBRE_00003,Energy Audit,CBRE_00003_Energy_Audit_1.pdf,pdf,2.9,2020-07-31,2024-01-03,Active,Internal,"consumption, efficiency, hvac, lighting, recommendations",False,False,
DOC_000044,CBRE_00003,Appraisal Report,CBRE_00003_Appraisal_Report_1.pdf,pdf,3.89,2020-08-03,2023-09-15,Active,Confidential,"value, comparables, market, highest best use, cap rate",False,False,
DOC_000045,CBRE_00003,Insurance Policy,CBRE_00003_Insurance_Policy_1.pdf,pdf,0.17,2022-11-01,2023-01-07,Active,Internal,"general, property, management",True,True,2026-05-06
DOC_000046,CBRE_00003,Maintenance Log,CBRE_00003_Maintenance_Log_1.csv,csv,2.8,2020-02-25,2024-12-22,Active,Confidential,"general, property, management",False,False,
DOC_000047,CBRE_00003,Tenant Correspondence,CBRE_00003_Tenant_Correspondence_1.docx,docx,1.55,2021-12-16,2024-06-15,Active,Public,"general, property, management",False,False,
DOC_000048,CBRE_00003,Tenant Correspondence,CBRE_00003_Tenant_Correspondence_2.docx,docx,2.8,2020-02-16,2023-12-14,Active,Internal,"general, property, management",False,False,
DOC_000049,CBRE_00003,Market Analysis,CBRE_00003_Market_Analysis_1.pptx,pptx,2.69,2022-12-23,2023-04-23,Archived,Internal,"general, property, management",False,False,
DOC_000050,CBRE_00003,Environmental Report,CBRE_00003_Environmental_Report_1.pdf,pdf,3.46,2022-03-04,2024-05-09,Archived,Internal,"general, property, management",False,False,
DOC_000051,CBRE_00004,Lease Agreement,CBRE_00004_Lease_Agreement_1.pdf,pdf,0.75,2020-10-24,2024-08-21,Active,Internal,"rent, term, renewal, escalation, cam",True,True,2026-05-04
DOC_000052,CBRE_00004,Lease Agreement,CBRE_00004_Lease_Agreement_2.pdf,pdf,1.02,2020-03-02,2023-02-23,Active,Internal,"rent, term, renewal, escalation, cam",True,True,2026-01-18
DOC_000053,CBRE_00004,Lease Agreement,CBRE_00004_Lease_Agreement_3.pdf,pdf,4.31,2021-04-21,2024-04-09,Active,Confidential,"rent, term, renewal, escalation, cam",True,True,2027-09-18
DOC_000054,CBRE_00004,Property Inspection Report,CBRE_00004_Property_Inspection_Report_1.pdf,pdf,2.48,2021-09-27,2024-11-18,Active,Internal,"hvac, roof, structural, safety, code",False,False,
DOC_000055,CBRE_00004,Property Inspection Report,CBRE_00004_Property_Inspection_Report_2.pdf,pdf,1.12,2022-01-12,2023-05-09,Active,Confidential,"hvac, roof, structural, safety, code",False,False,
DOC_000056,CBRE_00004,Financial Statement,CBRE_00004_Financial_Statement_1.xlsx,xlsx,1.19,2023-02-28,2024-07-17,Active,Confidential,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000057,CBRE_00004,Financial Statement,CBRE_00004_Financial_Statement_2.xlsx,xlsx,4.8,2020-05-30,2024-02-05,Active,Confidential,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000058,CBRE_00004,Financial Statement,CBRE_00004_Financial_Statement_3.xlsx,xlsx,0.83,2024-03-26,2023-10-11,Draft,Internal,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000059,CBRE_00004,Financial Statement,CBRE_00004_Financial_Statement_4.xlsx,xlsx,0.36,2022-03-04,2023-07-18,Active,Internal,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000060,CBRE_00004,Energy Audit,CBRE_00004_Energy_Audit_1.pdf,pdf,1.39,2021-08-28,2023-02-22,Draft,Internal,"consumption, efficiency, hvac, lighting, recommendations",False,False,
DOC_000061,CBRE_00004,Appraisal Report,CBRE_00004_Appraisal_Report_1.pdf,pdf,1.85,2024-07-09,2024-11-12,Draft,Public,"value, comparables, market, highest best use, cap rate",False,False,
DOC_000062,CBRE_00004,Insurance Policy,CBRE_00004_Insurance_Policy_1.pdf,pdf,3.95,2023-06-03,2024-06-03,Active,Confidential,"general, property, management",True,True,2027-03-15
DOC_000063,CBRE_00004,Maintenance Log,CBRE_00004_Maintenance_Log_1.csv,csv,0.77,2024-06-18,2024-06-21,Active,Confidential,"general, property, management",False,False,
DOC_000064,CBRE_00004,Maintenance Log,CBRE_00004_Maintenance_Log_2.csv,csv,1.87,2020-02-15,2024-06-23,Active,Internal,"general, property, management",False,False,
DOC_000065,CBRE_00004,Maintenance Log,CBRE_00004_Maintenance_Log_3.csv,csv,4.71,2023-01-20,2024-03-30,Archived,Public,"general, property, management",False,False,
DOC_000066,CBRE_00004,Maintenance Log,CBRE_00004_Maintenance_Log_4.csv,csv,1.53,2023-02-27,2023-01-03,Archived,Public,"general, property, management",False,False,
DOC_000067,CBRE_00004,Maintenance Log,CBRE_00004_Maintenance_Log_5.csv,csv,0.35,2022-02-07,2024-07-04,Archived,Internal,"general, property, management",False,False,
DOC_000068,CBRE_00004,Maintenance Log,CBRE_00004_Maintenance_Log_6.csv,csv,1.85,2021-08-08,2024-04-05,Active,Public,"general, property, management",False,False,
DOC_000069,CBRE_00004,Maintenance Log,CBRE_00004_Maintenance_Log_7.csv,csv,3.04,2024-12-07,2024-01-28,Active,Confidential,"general, property, management",False,False,
DOC_000070,CBRE_00004,Maintenance Log,CBRE_00004_Maintenance_Log_8.csv,csv,2.1,2021-03-06,2023-02-01,Active,Confidential,"general, property, management",False,False,
DOC_000071,CBRE_00004,Maintenance Log,CBRE_00004_Maintenance_Log_9.csv,csv,3.03,2023-03-19,2024-02-12,Draft,Confidential,"general, property, management",False,False,
DOC_000072,CBRE_00004,Tenant Correspondence,CBRE_00004_Tenant_Correspondence_1.docx,docx,0.11,2021-07-13,2023-07-29,Active,Internal,"general, property, management",False,False,
DOC_000073,CBRE_00004,Market Analysis,CBRE_00004_Market_Analysis_1.pptx,pptx,0.28,2021-06-23,2023-05-21,Active,Internal,"general, property, management",False,False,
DOC_000074,CBRE_00004,Environmental Report,CBRE_00004_Environmental_Report_1.pdf,pdf,2.81,2021-09-07,2023-09-08,Draft,Internal,"general, property, management",False,False,
DOC_000075,CBRE_00005,Lease Agreement,CBRE_00005_Lease_Agreement_1.pdf,pdf,4.71,2021-02-24,2023-02-07,Active,Public,"rent, term, renewal, escalation, cam",True,True,2026-08-02
DOC_000076,CBRE_00005,Lease Agreement,CBRE_00005_Lease_Agreement_2.pdf,pdf,3.33,2020-07-01,2023-04-09,Draft,Internal,"rent, term, renewal, escalation, cam",True,True,2026-04-06
DOC_000077,CBRE_00005,Lease Agreement,CBRE_00005_Lease_Agreement_3.pdf,pdf,3.96,2023-09-03,2023-10-08,Active,Internal,"rent, term, renewal, escalation, cam",True,True,2027-10-26
DOC_000078,CBRE_00005,Property Inspection Report,CBRE_00005_Property_Inspection_Report_1.pdf,pdf,3.38,2023-04-25,2024-02-10,Active,Public,"hvac, roof, structural, safety, code",False,False,
DOC_000079,CBRE_00005,Financial Statement,CBRE_00005_Financial_Statement_1.xlsx,xlsx,4.72,2020-08-23,2024-07-26,Active,Confidential,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000080,CBRE_00005,Financial Statement,CBRE_00005_Financial_Statement_2.xlsx,xlsx,3.49,2022-11-10,2024-05-13,Active,Confidential,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000081,CBRE_00005,Financial Statement,CBRE_00005_Financial_Statement_3.xlsx,xlsx,1.77,2023-07-25,2023-12-29,Active,Internal,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000082,CBRE_00005,Financial Statement,CBRE_00005_Financial_Statement_4.xlsx,xlsx,2.02,2024-12-24,2024-01-19,Active,Public,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000083,CBRE_00005,Energy Audit,CBRE_00005_Energy_Audit_1.pdf,pdf,4.13,2020-01-09,2023-01-11,Draft,Internal,"consumption, efficiency, hvac, lighting, recommendations",False,False,
DOC_000084,CBRE_00005,Appraisal Report,CBRE_00005_Appraisal_Report_1.pdf,pdf,1.53,2022-05-23,2023-08-30,Active,Public,"value, comparables, market, highest best use, cap rate",False,False,
DOC_000085,CBRE_00005,Insurance Policy,CBRE_00005_Insurance_Policy_1.pdf,pdf,1.71,2024-09-11,2023-06-01,Draft,Confidential,"general, property, management",True,True,2027-08-02
DOC_000086,CBRE_00005,Maintenance Log,CBRE_00005_Maintenance_Log_1.csv,csv,5.0,2020-07-03,2023-03-29,Active,Internal,"general, property, management",False,False,
DOC_000087,CBRE_00005,Maintenance Log,CBRE_00005_Maintenance_Log_2.csv,csv,2.67,2022-12-24,2023-11-23,Active,Internal,"general, property, management",False,False,
DOC_000088,CBRE_00005,Maintenance Log,CBRE_00005_Maintenance_Log_3.csv,csv,3.3,2023-11-15,2023-01-02,Active,Confidential,"general, property, management",False,False,
DOC_000089,CBRE_00005,Maintenance Log,CBRE_00005_Maintenance_Log_4.csv,csv,4.04,2021-11-15,2024-11-03,Active,Public,"general, property, management",False,False,
DOC_000090,CBRE_00005,Tenant Correspondence,CBRE_00005_Tenant_Correspondence_1.docx,docx,4.68,2022-12-22,2024-03-17,Draft,Confidential,"general, property, management",False,False,
DOC_000091,CBRE_00005,Tenant Correspondence,CBRE_00005_Tenant_Correspondence_2.docx,docx,4.4,2021-02-21,2023-04-16,Active,Internal,"general, property, management",False,False,
DOC_000092,CBRE_00005,Market Analysis,CBRE_00005_Market_Analysis_1.pptx,pptx,0.56,2020-06-22,2024-07-07,Active,Public,"general, property, management",False,False,
DOC_000093,CBRE_00005,Environmental Report,CBRE_00005_Environmental_Report_1.pdf,pdf,1.5,2022-04-29,2024-07-22,Active,Confidential,"general, property, management",False,False,
DOC_000094,CBRE_00006,Lease Agreement,CBRE_00006_Lease_Agreement_1.pdf,pdf,4.99,2024-02-14,2023-08-09,Active,Internal,"rent, term, renewal, escalation, cam",True,True,2027-05-18
DOC_000095,CBRE_00006,Lease Agreement,CBRE_00006_Lease_Agreement_2.pdf,pdf,1.75,2024-07-17,2023-12-21,Active,Internal,"rent, term, renewal, escalation, cam",True,True,2026-06-11
DOC_000096,CBRE_00006,Lease Agreement,CBRE_00006_Lease_Agreement_3.pdf,pdf,1.14,2022-03-11,2023-07-07,Active,Internal,"rent, term, renewal, escalation, cam",True,True,2026-11-02
DOC_000097,CBRE_00006,Property Inspection Report,CBRE_00006_Property_Inspection_Report_1.pdf,pdf,3.66,2023-12-16,2023-08-09,Draft,Confidential,"hvac, roof, structural, safety, code",False,False,
DOC_000098,CBRE_00006,Financial Statement,CBRE_00006_Financial_Statement_1.xlsx,xlsx,0.22,2024-08-16,2024-12-01,Archived,Public,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000099,CBRE_00006,Energy Audit,CBRE_00006_Energy_Audit_1.pdf,pdf,2.66,2021-12-30,2024-03-06,Active,Internal,"consumption, efficiency, hvac, lighting, recommendations",False,False,
DOC_000100,CBRE_00006,Appraisal Report,CBRE_00006_Appraisal_Report_1.pdf,pdf,1.97,2020-10-27,2023-09-16,Active,Confidential,"value, comparables, market, highest best use, cap rate",False,False,
DOC_000101,CBRE_00006,Insurance Policy,CBRE_00006_Insurance_Policy_1.pdf,pdf,1.04,2022-04-22,2024-09-04,Draft,Internal,"general, property, management",True,True,2026-01-22
DOC_000102,CBRE_00006,Maintenance Log,CBRE_00006_Maintenance_Log_1.csv,csv,3.71,2022-07-21,2024-09-03,Draft,Confidential,"general, property, management",False,False,
DOC_000103,CBRE_00006,Maintenance Log,CBRE_00006_Maintenance_Log_2.csv,csv,1.26,2022-09-07,2024-04-26,Active,Internal,"general, property, management",False,False,
DOC_000104,CBRE_00006,Maintenance Log,CBRE_00006_Maintenance_Log_3.csv,csv,4.06,2022-09-04,2023-12-17,Active,Public,"general, property, management",False,False,
DOC_000105,CBRE_00006,Maintenance Log,CBRE_00006_Maintenance_Log_4.csv,csv,0.2,2022-04-03,2023-01-19,Active,Internal,"general, property, management",False,False,
DOC_000106,CBRE_00006,Maintenance Log,CBRE_00006_Maintenance_Log_5.csv,csv,0.76,2024-02-11,2024-06-23,Draft,Confidential,"general, property, management",False,False,
DOC_000107,CBRE_00006,Maintenance Log,CBRE_00006_Maintenance_Log_6.csv,csv,3.28,2023-06-11,2023-06-19,Active,Confidential,"general, property, management",False,False,
DOC_000108,CBRE_00006,Maintenance Log,CBRE_00006_Maintenance_Log_7.csv,csv,2.2,2024-11-29,2023-10-30,Active,Internal,"general, property, management",False,False,
DOC_000109,CBRE_00006,Maintenance Log,CBRE_00006_Maintenance_Log_8.csv,csv,2.52,2021-04-29,2023-07-13,Active,Public,"general, property, management",False,False,
DOC_000110,CBRE_00006,Maintenance Log,CBRE_00006_Maintenance_Log_9.csv,csv,3.31,2024-04-25,2024-07-04,Active,Internal,"general, property, management",False,False,
DOC_000111,CBRE_00006,Tenant Correspondence,CBRE_00006_Tenant_Correspondence_1.docx,docx,1.96,2023-05-13,2024-03-05,Active,Public,"general, property, management",False,False,
DOC_000112,CBRE_00006,Tenant Correspondence,CBRE_00006_Tenant_Correspondence_2.docx,docx,4.03,2020-07-28,2023-07-12,Active,Confidential,"general, property, management",False,False,
DOC_000113,CBRE_00006,Tenant Correspondence,CBRE_00006_Tenant_Correspondence_3.docx,docx,1.41,2020-06-26,2023-04-28,Active,Confidential,"general, property, management",False,False,
DOC_000114,CBRE_00006,Tenant Correspondence,CBRE_00006_Tenant_Correspondence_4.docx,docx,3.3,2020-03-29,2024-10-17,Active,Internal,"general, property, management",False,False,
DOC_000115,CBRE_00006,Market Analysis,CBRE_00006_Market_Analysis_1.pptx,pptx,1.53,2021-10-24,2024-06-01,Active,Public,"general, property, management",False,False,
DOC_000116,CBRE_00006,Environmental Report,CBRE_00006_Environmental_Report_1.pdf,pdf,3.01,2020-12-31,2024-09-06,Active,Confidential,"general, property, management",False,False,
DOC_000117,CBRE_00007,Lease Agreement,CBRE_00007_Lease_Agreement_1.pdf,pdf,1.72,2023-12-27,2023-06-03,Draft,Internal,"rent, term, renewal, escalation, cam",True,True,2027-05-14
DOC_000118,CBRE_00007,Lease Agreement,CBRE_00007_Lease_Agreement_2.pdf,pdf,4.53,2022-01-22,2024-08-30,Archived,Internal,"rent, term, renewal, escalation, cam",True,True,2026-01-11
DOC_000119,CBRE_00007,Property Inspection Report,CBRE_00007_Property_Inspection_Report_1.pdf,pdf,4.52,2023-06-16,2023-09-19,Archived,Public,"hvac, roof, structural, safety, code",False,False,
DOC_000120,CBRE_00007,Property Inspection Report,CBRE_00007_Property_Inspection_Report_2.pdf,pdf,2.69,2023-02-18,2023-01-30,Draft,Internal,"hvac, roof, structural, safety, code",False,False,
DOC_000121,CBRE_00007,Financial Statement,CBRE_00007_Financial_Statement_1.xlsx,xlsx,2.22,2023-06-09,2023-04-23,Active,Internal,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000122,CBRE_00007,Energy Audit,CBRE_00007_Energy_Audit_1.pdf,pdf,0.2,2024-04-07,2024-10-01,Active,Internal,"consumption, efficiency, hvac, lighting, recommendations",False,False,
DOC_000123,CBRE_00007,Appraisal Report,CBRE_00007_Appraisal_Report_1.pdf,pdf,4.96,2021-02-09,2024-05-04,Draft,Confidential,"value, comparables, market, highest best use, cap rate",False,False,
DOC_000124,CBRE_00007,Insurance Policy,CBRE_00007_Insurance_Policy_1.pdf,pdf,3.23,2020-02-29,2023-12-28,Active,Internal,"general, property, management",True,True,2026-03-21
DOC_000125,CBRE_00007,Maintenance Log,CBRE_00007_Maintenance_Log_1.csv,csv,0.39,2022-08-05,2024-03-02,Archived,Internal,"general, property, management",False,False,
DOC_000126,CBRE_00007,Maintenance Log,CBRE_00007_Maintenance_Log_2.csv,csv,3.47,2020-10-26,2024-10-28,Active,Public,"general, property, management",False,False,
DOC_000127,CBRE_00007,Maintenance Log,CBRE_00007_Maintenance_Log_3.csv,csv,0.15,2021-09-12,2024-05-10,Active,Confidential,"general, property, management",False,False,
DOC_000128,CBRE_00007,Maintenance Log,CBRE_00007_Maintenance_Log_4.csv,csv,4.92,2024-02-22,2024-11-06,Draft,Public,"general, property, management",False,False,
DOC_000129,CBRE_00007,Maintenance Log,CBRE_00007_Maintenance_Log_5.csv,csv,1.52,2023-04-13,2024-06-06,Draft,Confidential,"general, property, management",False,False,
DOC_000130,CBRE_00007,Maintenance Log,CBRE_00007_Maintenance_Log_6.csv,csv,0.95,2020-04-09,2023-11-13,Active,Internal,"general, property, management",False,False,
DOC_000131,CBRE_00007,Maintenance Log,CBRE_00007_Maintenance_Log_7.csv,csv,0.89,2021-09-09,2023-06-25,Active,Public,"general, property, management",False,False,
DOC_000132,CBRE_00007,Tenant Correspondence,CBRE_00007_Tenant_Correspondence_1.docx,docx,1.1,2024-01-28,2024-08-09,Active,Internal,"general, property, management",False,False,
DOC_000133,CBRE_00007,Tenant Correspondence,CBRE_00007_Tenant_Correspondence_2.docx,docx,1.61,2024-03-11,2023-11-11,Active,Confidential,"general, property, management",False,False,
DOC_000134,CBRE_00007,Tenant Correspondence,CBRE_00007_Tenant_Correspondence_3.docx,docx,3.35,2022-06-11,2024-01-21,Active,Public,"general, property, management",False,False,
DOC_000135,CBRE_00007,Tenant Correspondence,CBRE_00007_Tenant_Correspondence_4.docx,docx,4.51,2024-10-13,2023-06-20,Active,Public,"general, property, management",False,False,
DOC_000136,CBRE_00007,Market Analysis,CBRE_00007_Market_Analysis_1.pptx,pptx,0.58,2021-08-28,2024-02-16,Active,Confidential,"general, property, management",False,False,
DOC_000137,CBRE_00007,Environmental Report,CBRE_00007_Environmental_Report_1.pdf,pdf,1.2,2023-09-07,2023-02-13,Active,Confidential,"general, property, management",False,False,
DOC_000138,CBRE_00008,Lease Agreement,CBRE_00008_Lease_Agreement_1.pdf,pdf,0.38,2024-10-12,2023-10-01,Active,Confidential,"rent, term, renewal, escalation, cam",True,True,2026-06-04
DOC_000139,CBRE_00008,Property Inspection Report,CBRE_00008_Property_Inspection_Report_1.pdf,pdf,3.7,2020-11-04,2023-01-04,Active,Internal,"hvac, roof, structural, safety, code",False,False,
DOC_000140,CBRE_00008,Financial Statement,CBRE_00008_Financial_Statement_1.xlsx,xlsx,2.87,2024-02-19,2023-10-13,Active,Public,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000141,CBRE_00008,Financial Statement,CBRE_00008_Financial_Statement_2.xlsx,xlsx,3.11,2021-06-26,2023-06-16,Active,Internal,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000142,CBRE_00008,Energy Audit,CBRE_00008_Energy_Audit_1.pdf,pdf,2.69,2024-12-12,2023-09-30,Active,Confidential,"consumption, efficiency, hvac, lighting, recommendations",False,False,
DOC_000143,CBRE_00008,Appraisal Report,CBRE_00008_Appraisal_Report_1.pdf,pdf,2.42,2023-09-05,2023-05-23,Archived,Public,"value, comparables, market, highest best use, cap rate",False,False,
DOC_000144,CBRE_00008,Insurance Policy,CBRE_00008_Insurance_Policy_1.pdf,pdf,3.41,2024-09-04,2024-10-05,Active,Internal,"general, property, management",True,True,2027-03-13
DOC_000145,CBRE_00008,Maintenance Log,CBRE_00008_Maintenance_Log_1.csv,csv,1.03,2024-11-24,2024-03-16,Active,Confidential,"general, property, management",False,False,
DOC_000146,CBRE_00008,Maintenance Log,CBRE_00008_Maintenance_Log_2.csv,csv,2.42,2021-04-14,2024-07-02,Active,Public,"general, property, management",False,False,
DOC_000147,CBRE_00008,Maintenance Log,CBRE_00008_Maintenance_Log_3.csv,csv,1.92,2024-01-09,2024-07-06,Active,Public,"general, property, management",False,False,
DOC_000148,CBRE_00008,Maintenance Log,CBRE_00008_Maintenance_Log_4.csv,csv,4.29,2020-12-06,2024-08-20,Active,Confidential,"general, property, management",False,False,
DOC_000149,CBRE_00008,Maintenance Log,CBRE_00008_Maintenance_Log_5.csv,csv,1.09,2020-03-12,2023-11-23,Archived,Internal,"general, property, management",False,False,
